fiscal_year,assistance_category_name,current_amount,constant_amount
2010,Economic,-933,-999
2010,Economic,-945,-1013
2009,Economic,-979,-1058
2010,Economic,-1000,-1071
2010,Economic,-1022,-1095
2015,Economic,-1029,-1015
2006,Economic,-1049,-1202
2012,Economic,-1049,-1084
2013,Economic,-1059,-1075
2008,Economic,-1066,-1165
2010,Economic,-1074,-1151
2006,Economic,-1079,-1237
2009,Economic,-1092,-1180
2007,Economic,-1158,-1292
2010,Economic,-1182,-1267
2015,Economic,-1238,-1221
2001,Economic,-1253,-1623
2005,Economic,-1296,-1534
2010,Economic,-1301,-1394
2014,Economic,-1315,-1315
2005,Economic,-1319,-1562
2007,Economic,-1320,-1473
2010,Economic,-1330,-1425
2004,Economic,-1338,-1634
2014,Economic,-1393,-1393
2006,Economic,-1419,-1626
2015,Economic,-1429,-1410
2016,Economic,-1449,-1408
2010,Economic,-1500,-1607
2007,Economic,-1590,-1774
2003,Economic,-1604,-2006
2010,Economic,-1604,-1719
2003,Economic,-1637,-2048
2010,Economic,-1661,-1779
2012,Economic,-1677,-1732
2012,Economic,-1680,-1735
2007,Economic,-1705,-1903
2010,Economic,-1708,-1830
2010,Economic,-1713,-1836
2004,Economic,-1767,-2158
2009,Economic,-1787,-1932
2008,Economic,-1800,-1968
2006,Economic,-1818,-2084
2011,Economic,-1869,-1964
2010,Economic,-1944,-2083
2009,Economic,-1950,-2107
2010,Economic,-1961,-2102
2010,Economic,-1987,-2130
2015,Economic,-1990,-1964
2004,Economic,-1999,-2440
2006,Economic,-2023,-2319
2003,Economic,-2069,-2588
2006,Economic,-2166,-2483
2010,Economic,-2189,-2345
2003,Economic,-2209,-2763
2008,Economic,-2239,-2448
2009,Economic,-2271,-2455
2014,Economic,-2273,-2273
2008,Economic,-2275,-2488
2007,Economic,-2321,-2591
2012,Economic,-2333,-2409
2005,Economic,-2362,-2796
2005,Economic,-2374,-2810
2003,Economic,-2426,-3035
2007,Economic,-2439,-2722
2006,Economic,-2502,-2868
2012,Economic,-2504,-2586
2011,Economic,-2572,-2703
2009,Economic,-2613,-2824
2004,Economic,-2617,-3194
2007,Economic,-2617,-2921
2010,Economic,-2620,-2807
2014,Economic,-2692,-2692
2003,Economic,-2728,-3412
2010,Economic,-2728,-2923
2013,Economic,-2774,-2817
2014,Economic,-2839,-2839
2007,Economic,-2858,-3190
2006,Economic,-2876,-3297
2007,Economic,-2906,-3244
2010,Economic,-3039,-3256
2013,Economic,-3090,-3137
2006,Economic,-3166,-3629
2003,Economic,-3167,-3962
2012,Economic,-3175,-3280
2002,Economic,-3234,-4123
2007,Economic,-3263,-3641
2009,Economic,-3312,-3579
2008,Economic,-3371,-3686
2009,Economic,-3398,-3672
2002,Economic,-3400,-4334
2012,Economic,-3405,-3516
2012,Economic,-3435,-3548
2010,Economic,-3512,-3763
2010,Economic,-3604,-3861
2006,Economic,-3664,-4200
2010,Economic,-3666,-3928
2008,Economic,-3696,-4042
2008,Economic,-3724,-4072
2004,Economic,-3747,-4574
2006,Economic,-3759,-4309
2008,Economic,-3818,-4175
2009,Economic,-3822,-4131
2003,Economic,-3843,-4808
2012,Economic,-3877,-4005
2010,Economic,-3894,-4173
2012,Economic,-3986,-4117
2013,Economic,-4000,-4061
2007,Economic,-4047,-4516
2006,Economic,-4048,-4640
2015,Economic,-4071,-4016
2010,Economic,-4072,-4363
2008,Economic,-4199,-4592
2009,Economic,-4204,-4544
2008,Economic,-4317,-4721
2003,Economic,-4326,-5412
2005,Economic,-4446,-5262
2015,Economic,-4491,-4431
2015,Economic,-4546,-4486
2002,Economic,-4571,-5827
2012,Economic,-4647,-4799
2008,Economic,-4696,-5136
2011,Economic,-4752,-4994
2008,Economic,-4851,-5305
2007,Economic,-4862,-5426
2008,Economic,-4930,-5390
2002,Economic,-5087,-6485
2010,Economic,-5114,-5480
2012,Economic,-5135,-5304
2010,Economic,-5215,-5588
2008,Economic,-5281,-5775
2008,Economic,-5407,-5912
2001,Economic,-5408,-7005
2010,Economic,-5444,-5833
2005,Economic,-5575,-6598
2012,Economic,-5588,-5772
2015,Economic,-5650,-5575
2004,Economic,-5650,-6898
2012,Economic,-5667,-5853
2008,Economic,-5941,-6496
2015,Economic,-6024,-5943
2007,Economic,-6044,-6745
2007,Economic,-6071,-6776
2006,Economic,-6131,-7027
2009,Economic,-6173,-6672
2008,Economic,-6206,-6786
2014,Economic,-6329,-6329
2016,Economic,-6446,-6260
2010,Economic,-6481,-6945
2013,Economic,-6492,-6591
2013,Economic,-6567,-6667
2008,Economic,-6707,-7334
2003,Economic,-6925,-8663
2004,Economic,-7110,-8679
2006,Economic,-7132,-8176
2010,Economic,-7258,-7776
2005,Economic,-7272,-8607
2005,Economic,-7447,-8814
2011,Economic,-7593,-7979
2009,Economic,-7605,-8220
2008,Economic,-7667,-8384
2009,Economic,-7694,-8316
2012,Economic,-7696,-7949
2009,Economic,-7822,-8454
2012,Economic,-7837,-8095
2013,Economic,-8111,-8234
2010,Economic,-8207,-8793
2009,Economic,-8506,-9193
2007,Economic,-8619,-9619
2002,Economic,-8634,-11007
2013,Economic,-8674,-8806
2006,Economic,-8847,-10141
2003,Economic,-8895,-11127
2007,Economic,-9000,-10045
2008,Economic,-9020,-9863
2001,Economic,-9022,-11686
2010,Economic,-9040,-9686
2008,Economic,-9160,-10016
2004,Economic,-9174,-11198
2007,Economic,-9267,-10343
2015,Economic,-9358,-9234
2008,Economic,-9359,-10234
2009,Economic,-9394,-10153
2002,Economic,-9430,-12022
2011,Economic,-9613,-10103
2010,Economic,-9815,-10516
2009,Economic,-9837,-10631
2009,Economic,-9895,-10695
2010,Economic,-9909,-10617
2002,Economic,-10000,-12748
2003,Economic,-10209,-12770
2010,Economic,-10835,-11610
2007,Economic,-10900,-12165
2006,Economic,-10947,-12548
2008,Economic,-11309,-12366
2008,Economic,-11376,-12440
2009,Economic,-11601,-12538
2006,Economic,-11854,-13588
2014,Economic,-12156,-12156
2002,Economic,-12187,-15536
2004,Economic,-12257,-14963
2009,Economic,-12312,-13306
2012,Economic,-12342,-12747
2005,Economic,-12541,-14843
2007,Economic,-12748,-14228
2011,Economic,-12819,-13473
2012,Economic,-12996,-13423
2005,Economic,-13360,-15812
2016,Economic,-13684,-13291
2012,Economic,-14275,-14745
2006,Economic,-14414,-16523
2008,Economic,-14757,-16136
2002,Economic,-14902,-18997
2002,Economic,-14922,-19024
2002,Economic,-15014,-19141
2005,Economic,-15109,-17882
2009,Economic,-15109,-16330
2012,Economic,-15210,-15710
2010,Economic,-15462,-16568
2010,Economic,-15834,-16966
2009,Economic,-16014,-17308
2011,Economic,-16022,-16838
2012,Economic,-16657,-17205
2007,Economic,-17249,-19252
2016,Economic,-17437,-16935
2014,Economic,-17452,-17452
2009,Economic,-17522,-18938
2004,Economic,-17529,-21397
2002,Economic,-19224,-24507
2012,Economic,-19239,-19871
2012,Economic,-19270,-19904
2007,Economic,-20000,-22321
2015,Economic,-20050,-19782
2016,Economic,-20574,-19983
2011,Economic,-20942,-22009
2009,Economic,-21410,-23140
2008,Economic,-21703,-23732
2012,Economic,-21835,-22553
2003,Economic,-22437,-28067
2012,Economic,-22606,-23349
2004,Economic,-22758,-27780
2007,Economic,-23084,-25763
2003,Economic,-23912,-29912
2008,Economic,-24302,-26574
2005,Economic,-25161,-29779
2005,Economic,-25613,-30313
2007,Economic,-26161,-29197
2005,Economic,-26664,-31557
2002,Economic,-27928,-35603
2002,Economic,-29000,-36970
2007,Economic,-29346,-32753
2013,Economic,-30576,-31042
2005,Economic,-31667,-37479
2010,Economic,-31736,-34005
2011,Economic,-32118,-33755
2003,Economic,-32521,-40682
2007,Economic,-33180,-37031
2002,Economic,-33368,-42538
2008,Economic,-33911,-37081
2002,Economic,-35232,-44915
2006,Economic,-35457,-40642
2006,Economic,-36075,-41351
2012,Economic,-36542,-37743
2010,Economic,-38766,-41537
2008,Economic,-39227,-42894
2007,Economic,-40000,-44642
2003,Economic,-40134,-50205
2008,Economic,-40850,-44669
2016,Economic,-41034,-39854
2003,Economic,-41174,-51506
2010,Economic,-41353,-44308
2002,Economic,-41438,-52826
2012,Economic,-42286,-43676
2012,Economic,-44248,-45702
2009,Economic,-44248,-47823
2008,Economic,-44887,-49083
2004,Economic,-45000,-54931
2015,Economic,-45997,-45384
2006,Economic,-46544,-53351
2002,Economic,-46840,-59713
2009,Economic,-48110,-51997
2015,Economic,-48331,-47687
2004,Economic,-50000,-61034
2014,Economic,-51231,-51231
2014,Economic,-51940,-51940
2015,Economic,-52491,-51791
2004,Economic,-53985,-65900
2008,Economic,-54561,-59662
2011,Economic,-55553,-58384
2013,Economic,-56000,-56852
2010,Economic,-56339,-60366
2003,Economic,-60081,-75156
2012,Economic,-61191,-63203
2003,Economic,-61370,-76770
2014,Economic,-61729,-61729
2002,Economic,-61847,-78845
2007,Economic,-63105,-70429
2010,Economic,-64282,-68877
2005,Economic,-67387,-79755
2015,Economic,-67509,-66609
2004,Economic,-70917,-86568
2012,Economic,-73133,-75538
2006,Economic,-73661,-84434
2011,Economic,-75213,-79046
2006,Economic,-76466,-87650
2008,Economic,-81048,-88625
2004,Economic,-82485,-100689
2002,Economic,-83317,-106215
2012,Economic,-84129,-86895
2010,Economic,-85437,-91544
2003,Economic,-87542,-109508
2011,Economic,-88102,-92591
2015,Economic,-91970,-90744
2004,Economic,-97609,-119150
2008,Economic,-98768,-108001
2009,Economic,-98768,-106749
2004,Economic,-100000,-122069
2010,Economic,-102431,-109752
2011,Economic,-103577,-108855
2014,Economic,-112494,-112494
2011,Economic,-116200,-122121
2012,Economic,-116806,-120646
2009,Economic,-120659,-130409
2010,Economic,-121000,-129648
2007,Economic,-121596,-135709
2009,Economic,-122723,-132639
2002,Economic,-125004,-159358
2003,Economic,-130123,-162774
2015,Economic,-132068,-130308
2006,Economic,-140000,-160475
2014,Economic,-143334,-143334
2007,Economic,-144706,-161502
2004,Economic,-148168,-180868
2015,Economic,-150000,-148000
2010,Economic,-150504,-161261
2008,Economic,-161600,-176707
2004,Economic,-162446,-198296
2004,Economic,-165682,-202246
2010,Economic,-165999,-177864
2013,Economic,-168952,-171523
2011,Economic,-170487,-179174
2012,Economic,-177514,-183349
2002,Economic,-181687,-231620
2007,Economic,-183699,-205021
2012,Economic,-201115,-207726
2006,Economic,-204912,-234881
2004,Economic,-220966,-269732
2005,Economic,-232361,-275006
2012,Economic,-252645,-260951
2006,Economic,-257531,-295195
2008,Economic,-283876,-310413
2008,Economic,-289182,-316216
2009,Economic,-289287,-312661
2015,Economic,-325000,-320668
2004,Economic,-334350,-408138
2011,Economic,-394016,-414092
2011,Economic,-402127,-422617
2003,Economic,-419876,-525234
2010,Economic,-442672,-474314
2011,Economic,-555100,-583383
2011,Economic,-557020,-585402
2008,Economic,-560417,-612807
2006,Economic,-576809,-661167
2010,Economic,-658578,-705651
2010,Economic,-833160,-892712
2004,Economic,-888008,-1083983
2003,Economic,-969326,-1212556
2010,Economic,-1020648,-1093602
2009,Economic,-1038616,-1122536
2007,Economic,-1509000,-1684146
2010,Economic,-2194960,-2351851
2005,Economic,-2842492,-3364175
2004,Economic,-3676843,-4488290
2004,Economic,-4245537,-5182489
2010,Economic,-4641021,-4972752
2010,Economic,-4667647,-5001281
2009,Economic,-9870000,-10667496
2002,Economic,-27075612,-34516775
