fiscal_year,assistance_category_name,current_amount,constant_amount
2000,Economic,665600,883000
2012,Economic,665000,686861
2008,Economic,650000,710764
2008,Economic,650000,710764
2012,Economic,650000,671368
2010,Economic,649999,696460
2002,Military,649000,827364
2014,Military,647000,647000
2013,Economic,646516,656354
2013,Economic,646473,656310
2009,Economic,646269,698487
2016,Economic,643296,624797
2006,Military,639000,732454
2000,Economic,636500,844395
2015,Economic,629000,620616
2002,Economic,626622,798836
2013,Military,626500,636033
2009,Economic,625270,675791
2006,Economic,625000,716406
2014,Economic,623002,623002
2013,Economic,618820,628236
2002,Economic,615286,784384
2014,Economic,614413,614413
2003,Economic,607525,759969
2009,Economic,605000,653884
2005,Economic,601000,711301
2012,Economic,600000,619724
2002,Economic,600000,764897
2012,Economic,600000,619724
2003,Economic,600000,750555
2006,Economic,600000,687750
2016,Economic,600000,582746
2011,Economic,598000,628469
2005,Military,598000,707751
2000,Economic,593750,787682
2002,Economic,590218,752427
2013,Economic,588696,597654
2010,Economic,586969,628925
2015,Economic,585294,577493
2003,Economic,582200,728290
2000,Economic,581000,770768
2000,Economic,581000,770768
2005,Economic,579600,685974
2002,Economic,578081,736955
2006,Economic,576560,660883
2010,Economic,575492,616627
2015,Economic,571958,564334
2005,Economic,570000,674612
2013,Economic,566038,574652
2010,Economic,559665,599669
2008,Economic,557000,609070
2009,Economic,555100,599952
2011,Economic,555100,583383
2014,Economic,554161,554161
2005,Economic,550000,650941
2000,Economic,550000,729642
2008,Economic,550000,601416
2001,Economic,550000,712416
2013,Economic,549314,557673
2000,Military,548000,726989
2012,Economic,547869,565880
2001,Military,546000,707234
2002,Economic,543774,693219
2008,Economic,540000,590481
2008,Economic,536000,586107
2015,Economic,535826,528685
2012,Economic,535000,552587
2013,Economic,529345,537401
2004,Economic,525000,640862
2002,Economic,525000,669285
2004,Economic,524724,640525
2008,Economic,521742,570516
2015,Economic,520667,513727
2007,Economic,520486,580897
2004,Economic,516129,630034
2014,Economic,515650,515650
2009,Economic,515000,556612
2002,Economic,514000,655262
2016,Economic,511508,496799
2011,Economic,508786,534710
2000,Economic,505600,670740
2001,Economic,505435,654691
2013,Economic,502304,509947
2008,Economic,500000,546742
2010,Economic,500000,535739
2003,Economic,500000,625462
2014,Economic,500000,500000
2015,Economic,500000,493335
2012,Economic,500000,516437
2008,Economic,500000,546742
2005,Economic,500000,591765
2014,Economic,500000,500000
2008,Economic,500000,546742
2002,Economic,500000,637414
2013,Economic,500000,507608
2001,Economic,500000,647651
2015,Economic,500000,493335
2016,Economic,500000,485621
2004,Economic,500000,610345
2014,Economic,500000,500000
2005,Economic,500000,591765
2005,Economic,500000,591765
2001,Economic,500000,647651
2005,Economic,500000,591765
2009,Economic,496370,536476
2004,Economic,496000,605462
2002,Economic,496000,632315
2014,Economic,495899,495899
2012,Economic,493532,509756
2000,Economic,493255,654363
2012,Economic,489729,505828
2000,Economic,489394,649241
2000,Economic,488900,648586
2004,Economic,488160,595893
2011,Economic,485100,509817
2009,Economic,480184,518982
2002,Economic,480000,611917
2003,Economic,476290,595803
2015,Economic,476210,469862
2010,Economic,475615,509611
2012,Economic,475000,490615
2003,Economic,474677,593785
2004,Economic,470000,573724
2006,Economic,470000,538737
2013,Economic,466606,473706
2006,Economic,464339,532249
2006,Economic,462345,529963
2010,Economic,460000,492879
2011,Economic,459533,482948
2003,Economic,458100,573049
2000,Economic,458000,607593
2006,Economic,457790,524742
2016,Economic,453225,440192
2007,Economic,453000,505578
2003,Economic,452755,566363
2005,Economic,452596,535661
2009,Economic,452252,488793
2013,Economic,451908,458784
2012,Economic,450348,465153
2007,Economic,450000,502230
2013,Economic,450000,456847
2012,Economic,450000,464793
2011,Economic,450000,472928
2011,Economic,448354,471199
2013,Economic,447071,453874
2009,Economic,447035,483155
2003,Economic,443462,554738
2003,Economic,436092,545519
2006,Economic,435000,498619
2013,Economic,434623,441236
2010,Economic,433458,464440
2015,Economic,432767,426998
2006,Economic,430201,493118
2011,Economic,430000,451909
2005,Economic,430000,508918
2002,Economic,429545,547597
2012,Economic,428677,442770
2000,Economic,426935,566381
2011,Economic,424635,446271
2010,Economic,419725,449726
2003,Economic,419671,524977
2012,Economic,418521,432279
2001,Economic,416833,539925
2001,Economic,413139,535139
2002,Economic,412800,526249
2004,Economic,410974,501673
2004,Economic,410560,501167
2008,Economic,409540,447826
2013,Economic,408000,414208
2012,Economic,405128,418446
2012,Economic,405000,418314
2002,Economic,404036,515076
2004,Economic,402525,491358
2010,Economic,402436,431201
2011,Economic,402127,422617
2012,Economic,401000,414182
2007,Economic,400974,447514
2013,Economic,400000,406086
2011,Economic,400000,420381
2001,Economic,400000,518120
2013,Economic,400000,406086
2015,Economic,400000,394668
2007,Economic,400000,446427
2005,Economic,400000,473412
2003,Economic,400000,500370
2008,Economic,400000,437393
2005,Economic,400000,473412
2005,Economic,400000,473412
2005,Economic,400000,473412
2015,Economic,398853,393536
2013,Economic,398175,404234
2003,Economic,396000,495366
2013,Economic,395763,401785
2010,Economic,395575,423850
2005,Economic,394000,466310
2003,Economic,393500,492239
2015,Economic,392401,387171
2006,Economic,391000,448184
2011,Economic,390972,410893
2013,Economic,390000,395934
2010,Economic,389967,417841
2005,Economic,389801,461342
2002,Economic,389090,496023
2011,Economic,388767,408575
2006,Economic,388103,444863
2009,Economic,383488,414474
2007,Economic,382666,427081
2012,Economic,382018,394576
2005,Economic,381121,451069
2005,Economic,380000,449741
2008,Economic,378115,413462
2009,Economic,377965,408504
2012,Economic,376997,389391
2003,Economic,376800,471350
2010,Economic,375000,401804
2006,Economic,375000,429844
2006,Economic,375000,429844
2009,Economic,374950,405246
2008,Economic,371100,405792
2008,Economic,369000,403495
2004,Economic,364635,445106
2002,Economic,364000,464037
2003,Economic,359000,449082
2010,Economic,357343,382885
2000,Economic,357240,473922
2004,Economic,355025,433375
2008,Economic,354883,388059
2001,Economic,354700,459443
2013,Economic,354596,359991
2013,Economic,353795,359179
2003,Economic,353041,441628
2007,Economic,352500,393413
2010,Economic,352339,377524
2014,Economic,351031,351031
2005,Economic,350634,414986
2014,Economic,350000,350000
2008,Economic,350000,382719
2007,Economic,350000,390623
2011,Economic,350000,367833
2003,Economic,350000,437824
2007,Economic,350000,390623
2014,Economic,350000,350000
2008,Economic,350000,382719
2008,Economic,350000,382719
2009,Economic,350000,378280
2013,Economic,349097,354409
2003,Economic,347240,434371
2008,Economic,347126,379576
2003,Economic,346717,433717
2004,Economic,346172,422569
2000,Economic,345300,458083
2009,Economic,344248,372063
2008,Economic,342160,374147
2009,Economic,341152,368718
2003,Economic,341000,426565
2006,Economic,340901,390758
2007,Economic,340660,380200
2008,Economic,340000,371784
2012,Economic,339052,350198
2013,Economic,338285,343433
2008,Economic,338200,369816
2015,Economic,336000,331521
2002,Economic,335062,427147
2013,Economic,335000,340097
2015,Economic,335000,330534
2002,Economic,334000,425792
2003,Economic,331300,414431
2001,Economic,330000,427449
2001,Economic,327000,423563
2000,Economic,326200,432744
2013,Economic,325484,330437
2013,Economic,325000,329945
2006,Economic,325000,372531
2001,Economic,325000,420973
2014,Economic,324472,324472
2008,Economic,323839,354113
2006,Economic,319800,366571
2012,Economic,319630,330138
2010,Economic,319500,342337
2001,Economic,319230,413499
2003,Economic,316800,396293
2004,Economic,316800,386714
2005,Economic,316155,374179
2008,Economic,315785,345306
2006,Economic,314400,360381
2009,Military,314000,339371
2010,Economic,313565,335978
2002,Economic,312700,398639
2007,Economic,311300,347431
2005,Economic,311133,368235
2013,Economic,309600,314311
2015,Economic,307600,303500
2001,Economic,306750,397333
2005,Economic,304599,360503
2004,Economic,303527,370513
2004,Economic,303452,370421
2008,Economic,301998,330230
2001,Economic,301900,391051
2007,Economic,301825,336857
2011,Economic,301092,316433
2005,Economic,300700,355887
2005,Economic,300700,355887
2012,Economic,300679,310564
2010,Economic,300175,321630
2010,Economic,300000,321443
2011,Economic,300000,315285
2003,Economic,300000,375277
2011,Economic,300000,315285
2012,Economic,300000,309862
2010,Economic,300000,321443
2007,Economic,300000,334820
2008,Economic,300000,328045
2007,Economic,300000,334820
2005,Economic,300000,355059
2003,Economic,300000,375277
2014,Economic,300000,300000
2004,Economic,300000,366207
2012,Economic,299439,309283
2000,Economic,298400,395864
2014,Economic,298005,298005
2002,Economic,298000,379899
2014,Economic,297000,297000
2006,Economic,296380,339726
2001,Economic,296000,383409
2012,Economic,295891,305618
2008,Economic,295667,323307
2010,Economic,295600,316728
2011,Economic,295000,310031
2004,Economic,295000,360103
2012,Economic,294782,304472
2003,Economic,293700,367396
2001,Economic,292085,378338
2012,Economic,291629,301216
2013,Economic,291428,295863
2004,Economic,291029,355256
2009,Economic,289286,312660
2013,Economic,289000,293397
2002,Economic,288623,367945
2014,Economic,285472,285472
2003,Economic,284400,355763
2008,Economic,283876,310413
2011,Economic,282472,296865
2014,Economic,280820,280820
2003,Economic,280758,351207
2004,Economic,280000,341793
2006,Economic,278430,319150
2014,Economic,277637,277637
2002,Economic,277000,353127
2015,Economic,276789,273100
2013,Economic,275101,279287
2003,Economic,274496,343374
2011,Economic,274380,288361
2007,Economic,272600,304240
2002,Economic,272237,347055
2005,Economic,271800,321683
2011,Economic,271224,285043
2001,Economic,270800,350767
2004,Economic,270000,329586
2003,Economic,269841,337551
2014,Economic,269482,269482
